,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
69388,NIC,North America,Nicaragua,2021-07-31,9470.0,0.0,51.714,195.0,0.0,0.14300000000000002,1429.53,0.0,7.806,29.436,0.0,0.022000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6624554.0,51.667,27.3,5.445,3.5189999999999997,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,
69888,NER,Africa,Niger,2021-07-31,5623.0,7.0,3.571,195.0,0.0,0.0,232.292,0.289,0.14800000000000002,8.056000000000001,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24206636.0,16.955,15.1,2.553,1.3780000000000001,926.0,44.5,238.33900000000003,2.42,0.1,15.4,8.978,0.3,62.42,0.39399999999999996,
70409,NGA,Africa,Nigeria,2021-07-31,173908.0,497.0,430.42900000000003,2149.0,0.0,2.4290000000000003,843.6419999999999,2.411,2.088,10.425,0.0,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206139587.0,209.588,18.1,2.7510000000000003,1.4469999999999998,5338.454000000001,,181.013,2.42,0.6,10.8,41.949,,54.69,0.539,
70983,OWID_NAM,,North America,2021-07-31,41750987.0,66146.0,110546.429,923819.0,758.0,928.2860000000001,70516.715,111.719,186.71099999999998,1560.315,1.28,1.568,,,,,,,,,,,,,,,,,,,498963436.0,286960048.0,224115506.0,1670952.0,2358346.0,84.27,48.47,37.85,3983.0,,592072204.0,,,,,,,,,,,,,,,
71506,MKD,Europe,North Macedonia,2021-07-31,156380.0,81.0,46.571000000000005,5493.0,0.0,0.5710000000000001,75060.719,38.879,22.354,2636.5809999999997,0.0,0.27399999999999997,,,,,,,,,,,,,,,,,,,904583.0,514021.0,390562.0,13204.0,10944.0,43.42,24.67,18.75,5253.0,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,
72195,NOR,Europe,Norway,2021-07-31,137627.0,156.0,285.143,799.0,0.0,0.0,25386.618,28.776,52.597,147.38299999999998,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5421242.0,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.9570000000000001,
72750,OWID_OCE,,Oceania,2021-07-31,84789.0,1421.0,1260.5710000000001,1381.0,5.0,9.571,1986.723,33.296,29.537,32.359,0.11699999999999999,0.22399999999999998,,,,,,,,,,,,,,,,,,,15112636.0,10279315.0,4833321.0,200706.0,198624.0,35.41,24.09,11.33,4654.0,,42677809.0,,,,,,,,,,,,,,,
73275,OMN,Asia,Oman,2021-07-31,295857.0,0.0,973.571,3814.0,0.0,45.143,57935.950999999994,0.0,190.649,746.873,0.0,8.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5106622.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,
73799,PAK,Asia,Pakistan,2021-07-31,1034837.0,5026.0,4306.143,23422.0,62.0,58.0,4684.803,22.753,19.494,106.03399999999999,0.281,0.263,,,,,,,,,,,,,,,,,,,29648055.0,,6312421.0,904830.0,678588.0,13.42,,2.86,3072.0,,220892331.0,255.57299999999998,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,
74314,PSE,Asia,Palestine,2021-07-31,316738.0,135.0,110.0,3603.0,2.0,1.0,62088.252,26.463,21.563000000000002,706.2739999999999,0.392,0.196,,,,,,,,,,,,,,,,,,,1007483.0,591569.0,415914.0,76.0,4418.0,19.75,11.6,8.15,866.0,,5101416.0,778.202,20.4,3.043,1.726,4449.898,1.0,265.91,10.59,,,,,74.05,0.708,
